column_name,missing_count,missing_pct
pickup_census_tract,5244122,100.0
company_code,2551636,48.6571
dropoff_census_tract,1921607,36.6431
dropoff_community_area,606723,11.5696
dropoff_latitude,595093,11.3478
dropoff_longitude,595093,11.3478
pickup_community_area,520184,9.9194
pickup_longitude,520121,9.9182
pickup_latitude,520121,9.9182
trip_id,0,0.0
taxi_id,0,0.0
payment_type,0,0.0
trip_start_timestamp,0,0.0
trip_end_timestamp,0,0.0
trip_seconds,0,0.0
trip_miles,0,0.0
fare,0,0.0
tips,0,0.0
tolls,0,0.0
extras,0,0.0
